Manufacturer,Model,Vendor Analyte Name,Vendor Specimen Description,Vendor Result Description,LOINC Code,LOINC long Name,Vendor Analyte Code,Vendor Comment,Vendor Reference ID,Equipment UID,Equipment UID Type,Component,Property,Time,System,Scale,Method,Publication Version ID
Abbott,BinaxNOW COVID-19 Ag Card*,SARS-CoV-2 nucleocapsid protein antigen,nasal swabs (445297001^Swab of internal nose^SCT),"Negative (260385009^Negative^SCT)
Positive (10828004^Positive^SCT)
Invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94558-4,SARS-CoV-2 (COVID-19) Ag [Presence] in Respiratory specimen by Rapid immunoassay,,"This test is authorized for use at the Point of Care (POC), i.e., in patient care settings operating under a CLIA Certificate of Waiver, Certificate of Compliance, or Certificate of Accreditation.",,,,SARS coronavirus 2 Ag,PrThr,Pt,Respiratory,Ord,IA.rapid,20200902
"Access Bio, Inc.",CareStart COVID-19 MDx RT-PCR*,SARS-CoV-2 Result Interpretation,"nasopharyngeal swabs (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swabs (258529004^Throat swab^SCT)
combined nasopharyngeal/oropharyngeal (NP/OP) swabs (433801000124107^Nasopharyngeal and oropharyngeal swab^SCT)
nasal swabs (445297001^Swab of internal nose^SCT)
nasopharyngeal wash/aspirate (258467004^Nasopharyngeal washings^SCT or 258411007^Nasopharyngeal aspirate^SCT)
nasal aspirate (429931000124105^Nasal aspirate specimen^SCT)
bronchoalveolar lavage (258607008^Bronchoalveolar lavage fluid sample^SCT)","COVID-19 Positive (260373001^Detected^SCT)
COVID-19 Negative (260415000^Not Detected^SCT)
NA (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory specimen by NAA with probe detection,,,,ABI 7500 FAST Real-Time PCR_Thermo Fisher,MNI,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200715
"Access Genetics, LLC",LDT: OraRisk COVID-19 RT-PCR*,SARS-CoV2 Test Result,"nasal swab (445297001^Swab of internal nose^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)","SARS-CoV-2 Not Detected (260415000^Not Detected^SCT)
SARS-CoV-2 Detected (260373001^Detected^SCT)
Repeat inconclusive (419984006^Inconclusive^SCT)",94534-5,SARS coronavirus 2 RdRp gene [Presence] in Respiratory specimen by NAA with probe detection,,,,LightCycler 480 Instrument II_Roche,MNI,SARS coronavirus 2 RdRp gene,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200728
"Access Genetics, LLC",OraRisk COVID-19 RT-PCR*,SARS-CoV2 Test Result,"nasal swab (445297001^Swab of internal nose^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)","SARS-CoV-2 Not Detected (260415000^Not Detected^SCT)
SARS-CoV-2 Detected (260373001^Detected^SCT)
Repeat inconclusive (419984006^Inconclusive^SCT)",94534-5,SARS coronavirus 2 RdRp gene [Presence] in Respiratory specimen by NAA with probe detection,,,,LightCycler 480 Instrument II_Roche,MNI,SARS coronavirus 2 RdRp gene,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200728
Acupath,Acupath COVID-19 Real-Time (RT-PCR) Assay*,SARS-CoV-2 Result Interpretation,"nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
nasopharyngeal aspirate (258411007^Nasopharyngeal aspirate^SCT)
bronchoalveolar lavage (BAL) (258607008^Bronchoalveolar lavage fluid sample^SCT)","Positive (260373001^Detected^SCT)
Inconclusive (419984006^Inconclusive^SCT)
Negative (260415000^Not Detected^SCT)
Invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory specimen by NAA with probe detection,,Testing is limited to Acupath Laboratories,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200707
Acupath,COVID-19 Real-Time (RT-PCR) Assay*,SARS-CoV-2 Result Interpretation,"nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
nasopharyngeal aspirate (258411007^Nasopharyngeal aspirate^SCT)
bronchoalveolar lavage (BAL) (258607008^Bronchoalveolar lavage fluid sample^SCT)","Positive (260373001^Detected^SCT)
Inconclusive (419984006^Inconclusive^SCT)
Negative (260415000^Not Detected^SCT)
Invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory specimen by NAA with probe detection,,Testing is limited to Acupath Laboratories,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200707
Acupath Laboratories,Acupath COVID-19 Real-Time (RT-PCR) Assay*,SARS-CoV-2 Result Interpretation,"nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
nasopharyngeal aspirate (258411007^Nasopharyngeal aspirate^SCT)
bronchoalveolar lavage (BAL) (258607008^Bronchoalveolar lavage fluid sample^SCT)","Positive (260373001^Detected^SCT)
Inconclusive (419984006^Inconclusive^SCT)
Negative (260415000^Not Detected^SCT)
Invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory specimen by NAA with probe detection,,Testing is limited to Acupath Laboratories,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200707
Acupath Laboratories,COVID-19 Real-Time (RT-PCR) Assay*,SARS-CoV-2 Result Interpretation,"nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
nasopharyngeal aspirate (258411007^Nasopharyngeal aspirate^SCT)
bronchoalveolar lavage (BAL) (258607008^Bronchoalveolar lavage fluid sample^SCT)","Positive (260373001^Detected^SCT)
Inconclusive (419984006^Inconclusive^SCT)
Negative (260415000^Not Detected^SCT)
Invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory specimen by NAA with probe detection,,Testing is limited to Acupath Laboratories,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200707
"Acupath Laboratories, Inc.",Acupath COVID-19 Real-Time (RT-PCR) Assay*,SARS-CoV-2 Result Interpretation,"nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
nasopharyngeal aspirate (258411007^Nasopharyngeal aspirate^SCT)
bronchoalveolar lavage (BAL) (258607008^Bronchoalveolar lavage fluid sample^SCT)","Positive (260373001^Detected^SCT)
Inconclusive (419984006^Inconclusive^SCT)
Negative (260415000^Not Detected^SCT)
Invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory specimen by NAA with probe detection,,Testing is limited to Acupath Laboratories,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200707
"Acupath Laboratories, Inc.",COVID-19 Real-Time (RT-PCR) Assay*,SARS-CoV-2 Result Interpretation,"nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
nasopharyngeal aspirate (258411007^Nasopharyngeal aspirate^SCT)
bronchoalveolar lavage (BAL) (258607008^Bronchoalveolar lavage fluid sample^SCT)","Positive (260373001^Detected^SCT)
Inconclusive (419984006^Inconclusive^SCT)
Negative (260415000^Not Detected^SCT)
Invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory specimen by NAA with probe detection,,Testing is limited to Acupath Laboratories,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200707
Aeon Global Health,LDT: Aeon Global Health SARS-CoV-2 Assay*,SARS-CoV-2 Result Interpretation,"nasal swab (445297001^Swab of internal nose^SCT)
mid-turbinate swab (871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swab (258529004^Throat swab^SCT)
nasopharyngeal wash/aspirate (258467004^Nasopharyngeal washings^SCT or 258411007^Nasopharyngeal aspirate^SCT)
nasal aspirate (429931000124105^Nasal aspirate specimen^SCT)
bronchoalveolar lavage specimens (258607008^Bronchoalveolar lavage fluid sample^SCT)","Invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)
SARS-CoV-2 Not Detected (260415000^Not Detected^SCT)
SARS-CoV-2 Inconclusive (419984006^Inconclusive^SCT)
SARS-CoV-2 Detected (260373001^Detected^SCT)",94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory specimen by NAA with probe detection,,"Testing is limited to Aeon Global Health laboratory located at 2225 Centennial Drive, Gainesville, GA 30504",,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20201005
Aeon Global Health,Aeon Global Health SARS-CoV-2 Assay*,SARS-CoV-2 Result Interpretation,"nasal swab (445297001^Swab of internal nose^SCT)
mid-turbinate swab (871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swab (258529004^Throat swab^SCT)
nasopharyngeal wash/aspirate (258467004^Nasopharyngeal washings^SCT or 258411007^Nasopharyngeal aspirate^SCT)
nasal aspirate (429931000124105^Nasal aspirate specimen^SCT)
bronchoalveolar lavage specimens (258607008^Bronchoalveolar lavage fluid sample^SCT)","Invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)
SARS-CoV-2 Not Detected (260415000^Not Detected^SCT)
SARS-CoV-2 Inconclusive (419984006^Inconclusive^SCT)
SARS-CoV-2 Detected (260373001^Detected^SCT)",94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory specimen by NAA with probe detection,,"Testing is limited to Aeon Global Health laboratory located at 2225 Centennial Drive, Gainesville, GA 30504",,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20201005
AIT,LDT: SARS-CoV-2 Assay*,,"Upper respiratory specimens, such as:
Nasal swab (445297001^Swab of internal nose^SCT)
mid-turbinate nasal swab (871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swab (258529004^Throat swab^SCT)
Lower respiratory specimens, such as:
sputum (119334006^Sputum specimen^SCT)
BAL (258607008^Bronchoalveolar lavage fluid sample^SCT)","Positive SARS-CoV-2 (260373001^Detected^SCT)
SARS-CoV-2 Not Detected (260415000^Not detected^SCT)
SARS-CoV-2 Inconclusive (419984006^Inconclusive^SCT)",94500-6,SARS coronavirus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200512
AIT,SARS-CoV-2 Assay*,,"Upper respiratory specimens, such as:
Nasal swab (445297001^Swab of internal nose^SCT)
mid-turbinate nasal swab (871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swab (258529004^Throat swab^SCT)
Lower respiratory specimens, such as:
sputum (119334006^Sputum specimen^SCT)
BAL (258607008^Bronchoalveolar lavage fluid sample^SCT)","Positive SARS-CoV-2 (260373001^Detected^SCT)
SARS-CoV-2 Not Detected (260415000^Not detected^SCT)
SARS-CoV-2 Inconclusive (419984006^Inconclusive^SCT)",94500-6,SARS coronavirus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200512
AIT Laboratories,SARS-CoV-2 Assay*,,"Upper respiratory specimens, such as:
Nasal swab (445297001^Swab of internal nose^SCT)
mid-turbinate nasal swab (871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swab (258529004^Throat swab^SCT)
Lower respiratory specimens, such as:
sputum (119334006^Sputum specimen^SCT)
BAL (258607008^Bronchoalveolar lavage fluid sample^SCT)","Positive SARS-CoV-2 (260373001^Detected^SCT)
SARS-CoV-2 Not Detected (260415000^Not detected^SCT)
SARS-CoV-2 Inconclusive (419984006^Inconclusive^SCT)",94500-6,SARS coronavirus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200512
AIT Laboratories,LDT: SARS-CoV-2 Assay*,SARS-CoV-2 Result Interpretation,"Nasal swab (445297001^Swab of internal nose^SCT)
mid-turbinate nasal swab (871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swab (258529004^Throat swab^SCT)
Lower respiratory specimens, such as:
sputum (119334006^Sputum specimen^SCT)
BAL (258607008^Bronchoalveolar lavage fluid sample^SCT)","Positive SARS-CoV-2 (260373001^Detected^SCT)
SARS-CoV-2 Not Detected (260415000^Not detected^SCT)
SARS-CoV-2 Inconclusive (419984006^Inconclusive^SCT)",94500-6,SARS coronavirus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200512
AIT Laboratories,SARS-CoV-2 Assay*,SARS-CoV-2 Result Interpretation,"Nasal swab (445297001^Swab of internal nose^SCT)
mid-turbinate nasal swab (871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swab (258529004^Throat swab^SCT)
Lower respiratory specimens, such as:
sputum (119334006^Sputum specimen^SCT)
BAL (258607008^Bronchoalveolar lavage fluid sample^SCT)","Positive SARS-CoV-2 (260373001^Detected^SCT)
SARS-CoV-2 Not Detected (260415000^Not detected^SCT)
SARS-CoV-2 Inconclusive (419984006^Inconclusive^SCT)",94500-6,SARS coronavirus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200512
Akron Children’s Hospital,LDT: Akron Children’s Hospital SARS-CoV-2 Assay*,SARS-CoV-2 Result Interpretation,"nasopharyngeal swabs (258500001^Nasopharyngeal swab^SCT)
oropharyngeal (throat) swabs (258529004^Throat swab^SCT)
anterior nasal swabs (697989009^Anterior nares swab^SCT)
mid-turbinate nasal swabs (871810001^Mid-turbinate nasal swab^SCT)
nasal aspirates (429931000124105^Nasal aspirate specimen^SCT)
nasal washes (433871000124101^Nasal washings^SCT)
bronchoalveolar lavage (BAL) fluid (258607008^Bronchoalveolar lavage fluid sample^SCT)","B-ß-CoV (E gene target) andSARS-CoV-2 (S gene target) specific RNA detected. Positive for SARS-CoV-2. (260373001^Detected^SCT)
Only B-ß-CoV (E gene target) specific RNA was detected. Presumptive positive for SARS-CoV-2. (720735008^Presumptive positive^SCT)
Only SARS-CoV-2 (S gene target) specific RNA was detected. Positive for SARSCoV-2. (260373001^Detected^SCT)
Neither B-ß-CoV (E gene target) nor SARS-CoV-2 (S gene target) specific RNA was detected. (260415000^Not Detected^SCT)
RT-PCR inhibition or reagent failure (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory specimen by NAA with probe detection,,"Testing is limited to the Akron Children’s Hospital Molecular Diagnostics Laboratory located at One Perkins Square, Akron, OH 44308",,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20201005
Akron Children’s Hospital,Akron Children’s Hospital SARS-CoV-2 Assay*,SARS-CoV-2 Result Interpretation,"nasopharyngeal swabs (258500001^Nasopharyngeal swab^SCT)
oropharyngeal (throat) swabs (258529004^Throat swab^SCT)
anterior nasal swabs (697989009^Anterior nares swab^SCT)
mid-turbinate nasal swabs (871810001^Mid-turbinate nasal swab^SCT)
nasal aspirates (429931000124105^Nasal aspirate specimen^SCT)
nasal washes (433871000124101^Nasal washings^SCT)
bronchoalveolar lavage (BAL) fluid (258607008^Bronchoalveolar lavage fluid sample^SCT)","B-ß-CoV (E gene target) andSARS-CoV-2 (S gene target) specific RNA detected. Positive for SARS-CoV-2. (260373001^Detected^SCT)
Only B-ß-CoV (E gene target) specific RNA was detected. Presumptive positive for SARS-CoV-2. (720735008^Presumptive positive^SCT)
Only SARS-CoV-2 (S gene target) specific RNA was detected. Positive for SARSCoV-2. (260373001^Detected^SCT)
Neither B-ß-CoV (E gene target) nor SARS-CoV-2 (S gene target) specific RNA was detected. (260415000^Not Detected^SCT)
RT-PCR inhibition or reagent failure (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory specimen by NAA with probe detection,,"Testing is limited to the Akron Children’s Hospital Molecular Diagnostics Laboratory located at One Perkins Square, Akron, OH 44308",,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20201005
"Alimetrix, Inc.",LDT: Alimetrix SARS-CoV-2 RT-PCR Assay*,SARS-CoV-2 Result Interpretation,"nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swab (258529004^Throat swab^SCT)
anterior nasal swab (697989009^Anterior nares swab^SCT)
mid-turbinate nasal swab (871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal washes/aspirates (258467004^Nasopharyngeal washings^SCT or 258411007^Nasopharyngeal aspirate^SCT)
nasal aspirates (429931000124105^Nasal aspirate specimen^SCT)
bronchoalveolar lavage (BALs) specimens (258607008^Bronchoalveolar lavage fluid sample^SCT)","SARS-CoV-2 Detected (Positive) (260373001^Detected^SCT)
SARS-CoV-2 Not Detected (Negative) (260415000^Not Detected^SCT)
Invalid Result (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory specimen by NAA with probe detection,,"Testing is limited to Alimetrix, Inc. located at 800 Hudson Way, Suite 2200, Huntsville, AL 35806",,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20201005
"Alimetrix, Inc.",Alimetrix SARS-CoV-2 RT-PCR Assay*,SARS-CoV-2 Result Interpretation,"nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swab (258529004^Throat swab^SCT)
anterior nasal swab (697989009^Anterior nares swab^SCT)
mid-turbinate nasal swab (871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal washes/aspirates (258467004^Nasopharyngeal washings^SCT or 258411007^Nasopharyngeal aspirate^SCT)
nasal aspirates (429931000124105^Nasal aspirate specimen^SCT)
bronchoalveolar lavage (BALs) specimens (258607008^Bronchoalveolar lavage fluid sample^SCT)","SARS-CoV-2 Detected (Positive) (260373001^Detected^SCT)
SARS-CoV-2 Not Detected (Negative) (260415000^Not Detected^SCT)
Invalid Result (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory specimen by NAA with probe detection,,"Testing is limited to Alimetrix, Inc. located at 800 Hudson Way, Suite 2200, Huntsville, AL 35806",,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20201005
Alpha Genomix Laboratories,LDT: Alpha Genomix TaqPath SARS-CoV-2 Combo Assay*,SARS-CoV-2 Result Interpretation,"nasopharyngeal swabs (258500001^Nasopharyngeal swab^SCT)
oropharyngeal (throat) swabs (258529004^Throat swab^SCT)
anterior nasal swabs (697989009^Anterior nares swab^SCT)
mid-turbinate nasal swabs (871810001^Mid-turbinate nasal swab^SCT)","Negative (260415000^Not detected^SCT)
Positive (260373001^Detected^SCT)
Inconclusive (419984006^Inconclusive^SCT)
Invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory specimen by NAA with probe detection,,"Testing is limited to Alpha Genomix Laboratories located at 333 Research Ct, Peachtree Corners, GA 30092",,ABI QuantStudio 12K Flex_Thermo Fisher,MNI,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200818
